DATE,PRICE,AMOUNT,LEVERAGE,ACTION,SIDE,PROFIT (USDT),ROE(%)
,60690.940000,0.015000,2,SELL,LONG,264.279750,81.809674
,60690.940000,0.015000,2,BUY,SHORT,0.000000,0.000000
,63606.870000,0.015000,2,SELL,SHORT,-43.738950,-9.609111
,63606.870000,0.015000,2,BUY,LONG,0.000000,0.000000
,60328.810000,0.015000,2,SELL,LONG,-49.170900,-10.307251
,60328.810000,0.015000,2,BUY,SHORT,0.000000,0.000000
,62299.990000,0.015000,2,SELL,SHORT,-29.567700,-6.534788
,62299.990000,0.015000,2,BUY,LONG,0.000000,0.000000
,60460.230000,0.015000,2,SELL,LONG,-27.596400,-5.906133
,60460.230000,0.015000,2,BUY,SHORT,0.000000,0.000000
,61550.890000,0.015000,2,SELL,SHORT,-16.359900,-3.607859
,61550.890000,0.015000,2,BUY,LONG,0.000000,0.000000
,61074.500000,0.015000,2,SELL,LONG,-7.145850,-1.547955
,61074.500000,0.015000,2,BUY,SHORT,0.000000,0.000000
,61521.130000,0.015000,2,SELL,SHORT,-6.699450,-1.462574
,61521.130000,0.015000,2,BUY,LONG,0.000000,0.000000
,61249.340000,0.015000,2,SELL,LONG,-4.076850,-0.883566
,61249.340000,0.015000,2,BUY,SHORT,0.000000,0.000000
,61938.010000,0.015000,2,SELL,SHORT,-10.330050,-2.248743
,61938.010000,0.015000,2,BUY,LONG,0.000000,0.000000
,64826.630000,0.015000,2,SELL,LONG,43.329300,9.327455
,64826.630000,0.015000,2,BUY,SHORT,0.000000,0.000000
,65712.650000,0.015000,2,SELL,SHORT,-13.290300,-2.733506
,65712.650000,0.015000,2,BUY,LONG,0.000000,0.000000
,63606.740000,0.015000,2,SELL,LONG,-31.588650,-6.409451
,63606.740000,0.015000,2,BUY,SHORT,0.000000,0.000000
,59048.500000,0.015000,2,SELL,SHORT,68.373600,14.332569
,59048.500000,0.015000,2,BUY,LONG,0.000000,0.000000
,53719.300000,0.015000,2,SELL,LONG,-79.938000,-18.050247
,53719.300000,0.015000,2,BUY,SHORT,0.000000,0.000000
,57515.130000,0.015000,2,SELL,SHORT,-56.937450,-14.132090
,57515.130000,0.015000,2,BUY,LONG,0.000000,0.000000
,56480.340000,0.015000,2,SELL,LONG,-15.521850,-3.598323
,56480.340000,0.015000,2,BUY,SHORT,0.000000,0.000000
,50221.050000,0.015000,2,SELL,SHORT,93.889350,22.164491
,50221.050000,0.015000,2,BUY,LONG,0.000000,0.000000
,47252.020000,0.015000,2,SELL,LONG,-44.535450,-11.823847
,47252.020000,0.015000,2,BUY,SHORT,0.000000,0.000000
,48819.600000,0.015000,2,SELL,SHORT,-23.513700,-6.634976
,48819.600000,0.015000,2,BUY,LONG,0.000000,0.000000
,47766.070000,0.015000,2,SELL,LONG,-15.802950,-4.316012
,47766.070000,0.015000,2,BUY,SHORT,0.000000,0.000000
,48579.770000,0.015000,2,SELL,SHORT,-12.205500,-3.407021
,48579.770000,0.015000,2,BUY,LONG,0.000000,0.000000
,49200.390000,0.015000,2,SELL,LONG,9.309300,2.555055
,49200.390000,0.015000,2,BUY,SHORT,0.000000,0.000000
